Question,Equation,Answer,Numbers
There are number0 walnut trees currently in the park . Park workers will plant number1 walnut trees today . How many walnut trees will the park have when the workers are finished ?,+ number0 number1,77,33.0 44.0
Gumballs come in packages of number0 . Nathan ate number1 gumballs . How many whole boxes did he eat and how many gumballs does he have left ?,/ number1 number0,4.0,5.0 20.0
It took me number0 minutes to walk number1 meters . How fast was I travelling ?,/ number1 number0,83.33,6.0 500.0
Sara picked number0 pears and Sally picked number1 pears from the pear tree . How many pears were picked in total ?,+ number0 number1,56.0,45.0 11.0
"White t - shirts can be purchased in packages of number0 . If Mom buys number1 packages , how many white t - shirts will Mom have ?",* number0 number1,426.0,6.0 71.0
"Rachel bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",* number2 + number0 number1,40.0,7.0 3.0 4.0
Sally has number0 blue balloons . Fred has number1 times more blue balloons than Sally . How many blue balloons does Fred have now ?,* number0 number1,18.0,6.0 3.0
Sara has saved number0 quarters from washing cars . How many cents does Sara have ?,* number0 25,275.0,11.0
There are number0 orchid bushes currently in the park . Park workers will plant number1 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?,+ number0 number1,6,2.0 4.0
Nancy grew number0 potatoes . Sandy grew number1 potatoes . How many potatoes did they grow in total ?,+ number0 number1,13.0,6.0 7.0
A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,- + number0 number1 number2,54.0,41.0 28.0 15.0
"A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin , how many books would be in the bin ?",- + number0 number2 number1,10.0,41.0 33.0 2.0
"A magician was selling magic card decks for number0 dollars each . If he started with number1 decks and by the end of the day he had number2 left , how much money did he earn ?",* number0 - number1 number2,45.0,9.0 12.0 7.0
"Louise has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",/ number0 number1,6.0,42.0 7.0
In fourth grade there were number0 students at the start of the year . During the year number1 students left and number2 new students came to school . How many students were in fourth grade at the end ?,- + number0 number2 number1,11.0,8.0 5.0 8.0
The Spurs basketball team has number0 players . Each player has number1 basketballs . How many basketballs do they have in all ?,* number0 number1,242.0,22.0 11.0
The Sumata family took a number0 day vacation by car . Each day they drove number1 miles . How many total miles did they drive ?,* number0 number1,1250.0,5.0 250.0
How much would number0 pieces of bubble gum cost if each piece costs number1 cents ?,* number0 number1,2448.0,136.0 18.0
There are number0 bananas in a pile on the desk . Each banana comes in a package of number1 . number2 bananas are added to the pile . How many bananas are there in the pile ?,+ number0 number2,9.0,2.0 17.0 7.0
Jeremy strolled number0 kilometers at number1 kilometers per hour . How long did Jeremy stroll ?,/ number0 number1,10.0,20.0 2.0
"Harry Hound had a terrible earache yesterday . When I peered into his ears yesterday , I found number0 frisky fleas having a party in his right ear and number1 baby fleas sleeping peacefully in his left ear . I cleaned out Harry Hound 's ears . How many fleas perished ?",+ number0 number1,121.0,36.0 85.0
"Megan picked number0 carrots from her garden . If she threw out number1 of them and then picked number2 more the next day , how many carrots would she have total ?",- + number0 number2 number1,61.0,19.0 4.0 46.0
"April 's discount flowers was having a sale where each flower was number0 dollars . If Zoe bought number1 roses and number2 daisies , how much did she spend ?",* number0 + number1 number2,30.0,3.0 8.0 2.0
Johnny saved $ number0 in September . He saved $ number1 in October and $ number2 in November . Then Johnny spent $ number3 on a video game . How much money does Johnny have left ?,- + number0 + number1 number2 number3,67.0,30.0 49.0 46.0 58.0
Paco had number0 cookies . Paco ate number1 of them . How many cookies did Paco have left ?,- number0 number1,78.0,93.0 15.0
number0 boats are in the lake . Each boat has number1 people . How many people are on boats in the lake ?,* number0 number1,15.0,5.0 3.0
"At Lindsey 's Vacation Wear , number0 of the garments are bikinis and number1 are trunks . What fraction of the garments are either bikinis or trunks ?",+ number0 number1,0.625,0.375 0.25
"A waiter had number0 customers in his section . If number1 of them left and the rest of his tables had number2 people at each table , how many tables did he have ?",/ - number0 number1 number2,3.0,21.0 12.0 3.0
There are number0 crayons in the drawer . Benny placed number1 crayons in the drawer . How many crayons are now there in total ?,+ number0 number1,12,9.0 3.0
"For the final act , the circus brought out dancing animals wearing crowns . If each crown is made with number0 different colored feathers , how many feathers are needed for number1 crowns ?",* number0 number1,6538.0,7.0 934.0
Megan had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Megan end up with ?,/ - number0 number1 number2,9.0,93.0 21.0 8.0
"A construction company ordered number0 ton of concrete , number1 ton of bricks , and number2 ton of stone . How many tons of material did the company order in all ?",+ + number0 number1 number2,0.8333333333333334,0.16666666666666666 0.16666666666666666 0.5
"Paige had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs , how many songs does she have on her mp3 player ?",- + number0 number2 number1,33.0,8.0 5.0 30.0
"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",+ + number0 number1 number2,65,29.0 16.0 20.0
"Katie baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",/ - number0 number1 number2,5.0,18.0 8.0 2.0
"Mrs. Hilt went to a concert . A total of number0 people attended the concert . The next week , Mrs. Hilt went to a second concert , which had number1 more people in attendance . How many people were at the second concert ?",+ number0 number1,66018.0,65899.0 119.0
Emily was playing a trivia game . In the first round she scored number0 points and in the second round she scored number1 points . In the last round she lost number2 points . How many points did she have at the end of the game ?,- + number0 number1 number2,1.0,16.0 33.0 48.0
It took Amanda number0 hours to stroll to Kimberly 's house at number1 miles per hour . How far is it between Amanda 's house and Kimberly 's house ?,* number0 number1,8.0,2.0 4.0
"Bianca was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",* number0 + number1 number2,72.0,8.0 5.0 4.0
Willie has number0 bananas . Charles has number1 bananas . He loses number2 . How many bananas will Willie have ?,- number0 number2,13.0,48.0 14.0 35.0
"A treasure hunter discovered a buried treasure chest filled with a total of number0 gems . number1 of the gems were diamonds , and the rest were rubies . How many of the gems were rubies ?",- number0 number1,5110.0,5155.0 45.0
"Ernest has number0 bananas that must be put away in boxes . Julie comes to help and brings number1 cookies to share with Ernest . If there are number2 boxes , how many bananas must go in each box ?",/ number0 number2,9.0,45.0 3.0 5.0
"An oil pipe in the sea broke . Before engineers started to fix the pipe , number0 liters of oil leaked into the water . While the engineers worked , the pipe leaked number1 liters of oil . In all , how many liters of oil leaked into the water ?",+ number0 number1,11687.0,6522.0 5165.0
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,/ - number0 number1 number2,3.0,27.0 6.0 7.0
Martin strolled to Lawrence 's house . It is number0 miles from Martin 's house to Lawrence 's house . It took Martin number1 hours to get there . How fast did Martin go ?,/ number0 number1,2.0,12.0 6.0
Dan grew number0 turnips and number1 cantelopes . Jessica grew number2 turnips . How many turnips did they grow in total ?,+ number0 number2,89,42.0 38.0 47.0
"Mark has number0 trees in his backyard . If he plants number1 more , how many trees will he have ?",+ number0 number1,25.0,13.0 12.0
"Adam bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Adam still have ?",* number2 - number0 number1,36.0,13.0 7.0 6.0
Wendy had number0 files on her computer . She deleted number1 of them and put the rest into folders with number2 files in each one . How many folders did Wendy end up with ?,/ - number0 number1 number2,9.0,82.0 37.0 5.0
